time,expected,destination,airline,status,scrape_time
12:5513:05,13:05,Nice,EASYJET,Took off,2024-11-10 13:53:27
13:00,,Paris,EASYJET,Took off,2024-11-10 13:53:27
13:1513:10,13:10,Catania,EASYJET,Took off,2024-11-10 13:53:27
13:3013:25,13:25,Porto,EASYJET,Took off,2024-11-10 13:53:27
13:4013:55,13:55,Frankfurt,LUFTHANSA,Go to gate,2024-11-10 13:53:27
13:45,,Tunis,NOUVELAIR TUNISIE,Departed,2024-11-10 13:53:27
13:5013:50,13:50,Hamburg,SWISS,Departed,2024-11-10 13:53:27
13:5514:00,14:00,Pristina,GP AVIATION,Boarding,2024-11-10 13:53:27
14:10,,Lille,EASYJET,Boarding,2024-11-10 13:53:27
14:10,,Madrid,IBERIA,Boarding,2024-11-10 13:53:27
14:10,,Dublin,AER LINGUS,Boarding,2024-11-10 13:53:27
14:15,,Budapest,EASYJET,Boarding,2024-11-10 13:53:27
14:20,,Cagliari,EASYJET,Go to gate,2024-11-10 13:53:27
14:20,,Istanbul,PEGASUS,Boarding,2024-11-10 13:53:27
14:35,,London,EASYJET,Go to gate,2024-11-10 13:53:27
14:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-10 13:53:27
14:45,,Istanbul,TURKISH AIRLINES,Go to gate,2024-11-10 13:53:27
14:50,,Zurich,SWISS,,2024-11-10 13:53:27
14:55,,Palermo,EASYJET,,2024-11-10 13:53:27
15:00,,Agadir,EASYJET,,2024-11-10 13:53:27
15:00,,Paris,AIR FRANCE,,2024-11-10 13:53:27
15:00,,Jeddah,SAUDIA,,2024-11-10 13:53:27
15:00,,Dubai,EMIRATES,,2024-11-10 13:53:27
15:10,,Barcelona,EASYJET,,2024-11-10 13:53:27
15:15,,Prague,EASYJET,,2024-11-10 13:53:27
15:20,,Cairo,EGYPTAIR,,2024-11-10 13:53:27
15:2016:10,16:10,Lisbon,EASYJET,,2024-11-10 13:53:27
15:25,,Doha,QATAR AIRWAYS,,2024-11-10 13:53:27
15:40,,Pristina,EASYJET,,2024-11-10 13:53:27
15:55,,London,SWISS,,2024-11-10 13:53:27
16:10,,Porto,SWISS,,2024-11-10 13:53:27
16:10,,Berlin,EASYJET,,2024-11-10 13:53:27
16:20,,Nantes,EASYJET,,2024-11-10 13:53:27
16:25,,London,BRITISH AIRWAYS,,2024-11-10 13:53:27
16:25,,Porto,TAP PORTUGAL,,2024-11-10 13:53:27
16:25,,Amsterdam,EASYJET,,2024-11-10 13:53:27
16:30,,Porto,EASYJET,,2024-11-10 13:53:27
16:35,,Bristol,EASYJET,,2024-11-10 13:53:27
16:40,,Barcelona,EASYJET,,2024-11-10 13:53:27
16:45,,Frankfurt,LUFTHANSA,,2024-11-10 13:53:27
16:45,,Lisbon,EASYJET,,2024-11-10 13:53:27
16:55,,Athens,AEGEAN AIRLINES,,2024-11-10 13:53:27
16:55,,Casablanca,ROYAL AIR MAROC,,2024-11-10 13:53:27
17:00,,Brussels,BRUSSELS AIRLINES,,2024-11-10 13:53:27
17:00,,Tunis,TUNISAIR,,2024-11-10 13:53:27
17:00,,Luxembourg,LUXAIR,,2024-11-10 13:53:27
17:05,,Paris,AIR FRANCE,,2024-11-10 13:53:27
17:10,,Munich,AIR DOLOMITI,,2024-11-10 13:53:27
17:30,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-10 13:53:27
17:40,,Vienna,AUSTRIAN,,2024-11-10 13:53:27
17:40,,Porto,EASYJET,,2024-11-10 13:53:27
17:40,,Brussels,SWISS,,2024-11-10 13:53:27
17:45,,Berlin,SWISS,,2024-11-10 13:53:27
17:50,,London,SWISS,,2024-11-10 13:53:27
17:55,,Nice,SWISS,,2024-11-10 13:53:27
17:55,,Copenhagen,EASYJET,,2024-11-10 13:53:27
18:00,,Naples,EASYJET,,2024-11-10 13:53:27
18:10,,Barcelona,VUELING,,2024-11-10 13:53:27
18:15,,Paris,AIR FRANCE,,2024-11-10 13:53:27
18:20,,Lisbon,TAP PORTUGAL,,2024-11-10 13:53:27
18:20,,Alicante,EASYJET,,2024-11-10 13:53:27
18:25,,Frankfurt,AIR DOLOMITI,,2024-11-10 13:53:27
18:30,,Nice,EASYJET,,2024-11-10 13:53:27
18:35,,Madrid,IBERIA,,2024-11-10 13:53:27
18:35,,Istanbul,TURKISH AIRLINES,,2024-11-10 13:53:27
18:35,,London,EASYJET,,2024-11-10 13:53:27
18:40,,London,BRITISH AIRWAYS,,2024-11-10 13:53:27
18:45,,Rome,EASYJET,,2024-11-10 13:53:27
18:50,,Barcelona,EASYJET,,2024-11-10 13:53:27
18:55,,Bordeaux,EASYJET,,2024-11-10 13:53:27
18:55,,Rome,ITA AIRWAYS,,2024-11-10 13:53:27
19:00,,Helsinki,FINNAIR,,2024-11-10 13:53:27
19:00,,Toulouse,EASYJET,,2024-11-10 13:53:27
19:00,,Manchester,EASYJET,,2024-11-10 13:53:27
19:10,,Brussels,SWISS,,2024-11-10 13:53:27
19:15,,Brussels,EASYJET,,2024-11-10 13:53:27
19:20,,Zurich,SWISS,,2024-11-10 13:53:27
19:25,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-10 13:53:27
19:35,,Paris,EASYJET,,2024-11-10 13:53:27
19:40,,Warsaw,LOT POLISH AIRLINES,,2024-11-10 13:53:27
19:50,,Nantes,EASYJET,,2024-11-10 13:53:27
19:55,,Vienna,AUSTRIAN,,2024-11-10 13:53:27
19:55,,London,EASYJET,,2024-11-10 13:53:27
20:05,,Munich,AIR DOLOMITI,,2024-11-10 13:53:27
20:10,,Nice,EASYJET,,2024-11-10 13:53:27
20:15,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-11-10 13:53:27
20:30,,Paris,AIR FRANCE,,2024-11-10 13:53:27
20:30,,Zurich,SWISS,,2024-11-10 13:53:27
20:35,,London,EASYJET,,2024-11-10 13:53:27
20:40,,Barcelona,EASYJET,,2024-11-10 13:53:27
20:40,,Dubai,EMIRATES,,2024-11-10 13:53:27
20:45,,Madrid,IBERIA,,2024-11-10 13:53:27
20:50,,London,SWISS,,2024-11-10 13:53:27
21:00,,Berlin,EASYJET,,2024-11-10 13:53:27
21:00,,Prague,EUROWINGS,,2024-11-10 13:53:27
21:10,,Brussels,BRUSSELS AIRLINES,,2024-11-10 13:53:27
22:15,,Addis Ababa,ETHIOPIAN AIRLINES,,2024-11-10 13:53:27
